Plate	Well	GeneID
2	H02	pDhamy2_7j19_1E1MCY1
2	H03	pDakxq28n167159_1E1MCY1
2	H04	pDakxq28g228444_1E3MCY1
2	H05	pDhlcc3_116l20_1E1MCY1
2	H06	pDhfbr2_3b16_1E1MCY1
2	H07	pDhfbr1_15b14_1E1MCY1
2	H08	pDhute1_19k9_1E1MCY1
2	H09	pDakxq28L23832_1E1MCY1
2	H10	pDakxq28g17175_1E1MCY1
2	H11	pDhfbr1_15f6_1E1MCY1
2	H12	pDIMAGp998d2012760_1E1MCY1
